Epoch 001 | Train Loss: 11735.0116 | Val Loss: 11774.5757 | Val MAE: 101.3757
Epoch 002 | Train Loss: 11440.2188 | Val Loss: 11439.0654 | Val MAE: 99.7134
Epoch 003 | Train Loss: 11068.6417 | Val Loss: 11024.0684 | Val MAE: 97.6267
Epoch 004 | Train Loss: 10624.7722 | Val Loss: 10518.9546 | Val MAE: 95.0252
Epoch 005 | Train Loss: 10114.3182 | Val Loss: 9925.8914 | Val MAE: 91.8603
Epoch 006 | Train Loss: 9547.9902 | Val Loss: 9258.1514 | Val MAE: 88.1633
Epoch 007 | Train Loss: 8831.6150 | Val Loss: 8564.7188 | Val MAE: 84.1513
Epoch 008 | Train Loss: 8164.9115 | Val Loss: 7810.6379 | Val MAE: 79.5598
Epoch 009 | Train Loss: 7399.1865 | Val Loss: 7038.4456 | Val MAE: 74.5481
Epoch 010 | Train Loss: 6672.7105 | Val Loss: 6240.5964 | Val MAE: 68.9706
Epoch 011 | Train Loss: 5946.7288 | Val Loss: 5459.3768 | Val MAE: 63.0420
Epoch 012 | Train Loss: 5238.6163 | Val Loss: 4719.9432 | Val MAE: 56.8803
Epoch 013 | Train Loss: 4505.8694 | Val Loss: 4072.5734 | Val MAE: 50.8800
Epoch 014 | Train Loss: 3963.0123 | Val Loss: 3466.0660 | Val MAE: 44.5314
Epoch 015 | Train Loss: 3438.7806 | Val Loss: 2944.5442 | Val MAE: 38.4106
Epoch 016 | Train Loss: 3004.1090 | Val Loss: 2514.2006 | Val MAE: 33.8235
Epoch 017 | Train Loss: 2667.8927 | Val Loss: 2175.4188 | Val MAE: 29.4505
Epoch 018 | Train Loss: 2396.3805 | Val Loss: 1930.7546 | Val MAE: 26.4357
Epoch 019 | Train Loss: 2209.0965 | Val Loss: 1763.3957 | Val MAE: 25.3268
Epoch 020 | Train Loss: 2080.6099 | Val Loss: 1656.4391 | Val MAE: 25.0164
Epoch 021 | Train Loss: 2043.9684 | Val Loss: 1569.2139 | Val MAE: 26.5230
Epoch 022 | Train Loss: 1988.2673 | Val Loss: 1515.0632 | Val MAE: 27.5345
Epoch 023 | Train Loss: 1957.1849 | Val Loss: 1482.9289 | Val MAE: 28.3150
Epoch 024 | Train Loss: 1934.1634 | Val Loss: 1467.9326 | Val MAE: 28.6395
Epoch 025 | Train Loss: 1928.0370 | Val Loss: 1449.0659 | Val MAE: 28.9252
Epoch 026 | Train Loss: 1910.2370 | Val Loss: 1434.1622 | Val MAE: 28.8216
Epoch 027 | Train Loss: 1896.9254 | Val Loss: 1422.5988 | Val MAE: 28.3131
Epoch 028 | Train Loss: 1880.9853 | Val Loss: 1402.8008 | Val MAE: 27.9930
Epoch 029 | Train Loss: 1866.1999 | Val Loss: 1391.8865 | Val MAE: 27.3129
Epoch 030 | Train Loss: 1836.6936 | Val Loss: 1367.5490 | Val MAE: 26.6212
Epoch 031 | Train Loss: 1808.0315 | Val Loss: 1340.9941 | Val MAE: 26.0828
Epoch 032 | Train Loss: 1784.3850 | Val Loss: 1310.6932 | Val MAE: 25.5413
Epoch 033 | Train Loss: 1735.6149 | Val Loss: 1281.1699 | Val MAE: 23.8967
Epoch 034 | Train Loss: 1689.4953 | Val Loss: 1248.3213 | Val MAE: 23.4639
Epoch 035 | Train Loss: 1637.1869 | Val Loss: 1218.3630 | Val MAE: 23.1397
Epoch 036 | Train Loss: 1607.5737 | Val Loss: 1210.1286 | Val MAE: 23.3354
Epoch 037 | Train Loss: 1571.6396 | Val Loss: 1160.3371 | Val MAE: 23.6150
Epoch 038 | Train Loss: 1514.9661 | Val Loss: 1136.5715 | Val MAE: 24.2767
Epoch 039 | Train Loss: 1478.5214 | Val Loss: 1119.5480 | Val MAE: 25.2543
Epoch 040 | Train Loss: 1460.3852 | Val Loss: 1115.9712 | Val MAE: 25.6767
Epoch 041 | Train Loss: 1421.0226 | Val Loss: 1055.5255 | Val MAE: 24.4709
Epoch 042 | Train Loss: 1382.1157 | Val Loss: 1012.3146 | Val MAE: 24.2792
Epoch 043 | Train Loss: 1316.6582 | Val Loss: 982.5922 | Val MAE: 24.4862
Epoch 044 | Train Loss: 1231.9459 | Val Loss: 925.2344 | Val MAE: 23.8338
Epoch 045 | Train Loss: 1188.5752 | Val Loss: 837.3871 | Val MAE: 22.1415
Epoch 046 | Train Loss: 1073.1387 | Val Loss: 767.1474 | Val MAE: 20.8397
Epoch 047 | Train Loss: 1024.3608 | Val Loss: 722.6917 | Val MAE: 21.0059
Epoch 048 | Train Loss: 963.9444 | Val Loss: 656.9636 | Val MAE: 19.1644
Epoch 049 | Train Loss: 851.6844 | Val Loss: 595.0651 | Val MAE: 18.4524
Epoch 050 | Train Loss: 791.0757 | Val Loss: 573.2898 | Val MAE: 18.9393
Epoch 051 | Train Loss: 725.6003 | Val Loss: 504.1404 | Val MAE: 17.1695
Epoch 052 | Train Loss: 681.9292 | Val Loss: 468.9549 | Val MAE: 17.0962
Epoch 053 | Train Loss: 619.1214 | Val Loss: 419.2023 | Val MAE: 15.8840
Epoch 054 | Train Loss: 561.1837 | Val Loss: 436.5905 | Val MAE: 17.3535
Epoch 055 | Train Loss: 532.7258 | Val Loss: 419.9952 | Val MAE: 17.2994
Epoch 056 | Train Loss: 490.5597 | Val Loss: 349.8685 | Val MAE: 14.8949
Epoch 057 | Train Loss: 490.1577 | Val Loss: 300.9297 | Val MAE: 13.3902
Epoch 058 | Train Loss: 414.9436 | Val Loss: 315.8225 | Val MAE: 14.5480
Epoch 059 | Train Loss: 447.1271 | Val Loss: 323.3620 | Val MAE: 14.8937
Epoch 060 | Train Loss: 371.8981 | Val Loss: 258.5840 | Val MAE: 12.7968
Epoch 061 | Train Loss: 425.6333 | Val Loss: 256.5479 | Val MAE: 13.1748
Epoch 062 | Train Loss: 393.7523 | Val Loss: 273.9574 | Val MAE: 13.9836
Epoch 063 | Train Loss: 372.7530 | Val Loss: 267.4997 | Val MAE: 13.4227
Epoch 064 | Train Loss: 323.2789 | Val Loss: 205.4641 | Val MAE: 12.4161
Epoch 065 | Train Loss: 310.7288 | Val Loss: 224.7398 | Val MAE: 13.6137
Epoch 066 | Train Loss: 294.9567 | Val Loss: 216.3321 | Val MAE: 13.5683
Epoch 067 | Train Loss: 302.0951 | Val Loss: 208.3618 | Val MAE: 13.3120
Epoch 068 | Train Loss: 292.6768 | Val Loss: 209.6477 | Val MAE: 13.2484
Epoch 069 | Train Loss: 259.3231 | Val Loss: 257.3644 | Val MAE: 14.5719
